Var1,Var2,Var3
id,intensity,label
298,0.0543161539566774,Area_PGi_R
299,0.0634539436463213,Area_PGp_R
300,0.0858172114710111,Area_PGs_R
301,0.130696210963436,Area_23d_R
302,0.136597554095917,Area_31a_R
303,0.164834402743037,Area_31pd_R
304,0.167867173457157,Area_31p_ventral_R
305,0.120228464846298,Area_7m_R
306,0.148561442004783,Area_dorsal_23_a+b_R
307,0.0887053400338118,Dorsal_Transitional_Visual_Area_R
308,0.128178907202426,PreCuneus_Visual_Area_R
309,0.0858140916325873,Parieto-Occipital_Sulcus_Area_1_R
310,0.0906690050188932,Parieto-Occipital_Sulcus_Area_2_R
311,0.0310680346522354,ProStriate_Area_R
312,0.0583411960870244,RetroSplenial_Complex_R
313,0.0398022375754047,Area_ventral_23_a+b_R
314,0.0934449328781359,Area_10r_R
315,-0.0545973317484805,Area_10v_R
316,0.462313207304537,Area_25_R
317,0.125194436304362,Area_33_prime_R
318,0.0613717784479428,Area_8BM_R
319,0.00488571800688594,Area_9_Middle_R
320,0.0650167124362993,Area_a24_R
321,0.0921776596459293,Anterior_24_prime_R
322,0.138912819495861,Area_anterior_32_prime_R
323,0.0970965680349509,Area_dorsal_32_R
324,0.0635758444242008,Area_posterior_24_R
325,0.100183178233134,Area_Posterior_24_prime_R
326,0.0685557489681438,Area_p32_R
327,0.1579650431536,Area_p32_prime_R
328,0.235884407496288,posterior_OFC_Complex_R
329,0.046733802592719,Area_s32_R
330,-0.0692668621446097,Area_10d_R
331,-0.0997618659965658,Polar_10p_R
332,0.103217553547401,Area_11l_R
333,0.146378271363432,Area_13l_R
334,0.156588181264212,Area_47m_R
335,0.0180072377133297,Area_47s_R
336,0.0220049884129352,Area_anterior_10p_R
337,-0.0954096970763926,Orbital_Frontal_Complex_R
338,0.0343855396174505,Area_posterior_10p_R
339,0.0399293914691483,Area_44_R
340,-0.0230571652829132,Area_45_R
341,0.0851068298611355,Area_47l_(47_lateral)_R
342,0.0383998420638813,Area_anterior_47r_R
343,0.151654831174218,Area_IFJa_R
344,0.185476405616548,Area_IFJp_R
345,0.0498097759053243,Area_IFSa_R
346,0.125874988923544,Area_IFSp_R
347,0.0109632031517823,Area_posterior_47r_R
348,0.0162237014473235,Area_46_R
349,0.103166931310339,Area_8Ad_R
350,-0.0526251930241501,Area_8Av_R
351,-0.0887530247271248,Area_8B_Lateral_R
352,0.102715704392094,Area_8C_R
353,0.0659438558799573,Area_9-46d_R
354,-0.0919316441017995,Area_9_anterior_R
355,-0.00124712511721154,Area_9_Posterior_R
356,-0.0550819554749261,Area_anterior_9-46v_R
357,-0.0110149694915225,Inferior_6-8_Transitional_Area_R
358,-0.0224092329312779,Area_posterior_9-46v_R
359,-0.0696531696791986,Superior_6-8_Transitional_Area_R
360,-0.102292231670863,Superior_Frontal_Language_Area_R
361,0.0546025637441494,Thal_AnteroventralNucleus_L
362,0.176372919412493,Thal_Central_medial_L
363,0.0148006803111026,Thal_Central_lateral_L
364,0.176731664270931,Thal_Centralmedian_L
365,-0.0305552032569439,Thal_Laterodorsal_L
366,0.172358239820199,Thal_Lateral_Geniculate_L
367,0.0276962827488429,Thal_Lateral_Posterior_L
368,-0.090738639763246,Thal_Limitans_Suprageniculate_L
369,0.0752177120745768,Thal_Mediodorsolateral_parvocellular_L
370,-0.0019812100979605,Thal_Mediodorsomedial_magnocellular_L
371,0.15559835714022,Thal_Medial_Geniculate_L
372,0.229510387405753,Thal_Reuniens_L
373,0.078009245130394,Thal_Parafascicular_L
374,0.0741677683109164,Thal_Pulvinar_anterior_L
375,0.0813068629879879,Thal_Pulvinar_inferior_L
376,0.205533339341466,Thal_Pulvinar_lateral_L
377,-0.0365895063091533,Thal_Pulvinar_medial_L
378,0.280013248778698,Thal_Ventral_Anterior_L
379,0.34513533848428,Thal_Ventral_Lateral_Anterior_L
380,0.300794992625692,Thal_Ventral_Lateral_Posterior_L
381,0.322873168301874,Thal_Ventral_posterolateral_L
382,1.22912757016226,Globus_pallidus_externalis_L
383,0.560731365052974,Globus_pallidus_internalis_L
384,0.141443211320111,Amygdala_L
385,0.557062608130435,Substantia_nigra_pars_compacta_L
386,0.479769711003584,Substantia_nigra_pars_reticulata_L
387,0.571913557296449,Ventral_tegmenta_area_L
388,0.0756408766103096,Mammillary_bodies_L
389,0.468867252637511,Septal_nucleus_L
390,0.466039672026737,Nuclei_basal_L
391,0.248171602659826,Thal_AnteroventralNucleus_R
392,0.254498319457407,Thal_Central_medial_R
393,0.162753716111183,Thal_Central_lateral_R
394,0.301850233515104,Thal_Centralmedian_R
395,0.12309954161274,Thal_Laterodorsal_R
396,0.235953753174686,Thal_Lateral_Geniculate_R
397,0.212502754089114,Thal_Lateral_Posterior_R
398,0.090468805283308,Thal_Limitans_Suprageniculate_R
399,0.209502419098639,Thal_Mediodorsolateral_parvocellular_R
400,0.0976832255336303,Thal_Mediodorsomedial_magnocellular_R
401,0.19373145938984,Thal_Medial_Geniculate_R
402,0.278554411871093,Thal_Reuniens_R
403,0.216351008902376,Thal_Parafascicular_R
404,0.273248124359684,Thal_Pulvinar_anterior_R
405,0.208154398027255,Thal_Pulvinar_inferior_R
406,0.367761138890838,Thal_Pulvinar_lateral_R
407,0.117228842682595,Thal_Pulvinar_medial_R
408,0.506477967392403,Thal_Ventral_Anterior_R
409,0.61595843674768,Thal_Ventral_Lateral_Anterior_R
410,0.516359492227378,Thal_Ventral_Lateral_Posterior_R
411,0.541691978681974,Thal_Ventral_posterolateral_R
